(3.000, 0.000, 0.000)
 (3.000, 0.000, 0.046)
 (3.000, 0.024, 0.049)
 (3.000, 0.047, 0.052)
 (2.999, 0.071, 0.055)
 (2.999, 0.094, 0.058)
 (2.998, 0.118, 0.061)
 (2.997, 0.141, 0.064)
 (2.995, 0.165, 0.068)
 (2.994, 0.188, 0.071)
 (2.993, 0.212, 0.075)
 (2.991, 0.235, 0.079)
 (2.989, 0.259, 0.084)
 (2.987, 0.282, 0.088)
 (2.984, 0.306, 0.093)
 (2.982, 0.329, 0.098)
 (2.979, 0.353, 0.103)
 (2.976, 0.376, 0.109)
 (2.973, 0.399, 0.115)
 (2.970, 0.423, 0.121)
 (2.967, 0.446, 0.127)
 (2.963, 0.469, 0.134)
 (2.959, 0.493, 0.141)
 (2.955, 0.516, 0.148)
 (2.951, 0.539, 0.156)
 (2.947, 0.562, 0.164)
 (2.942, 0.585, 0.173)
 (2.938, 0.608, 0.181)
 (2.933, 0.631, 0.191)
 (2.928, 0.654, 0.200)
 (2.923, 0.677, 0.210)
 (2.917, 0.700, 0.220)
 (2.912, 0.723, 0.231)
 (2.906, 0.746, 0.242)
 (2.900, 0.769, 0.254)
 (2.894, 0.792, 0.266)
 (2.887, 0.814, 0.279)
 (2.881, 0.837, 0.292)
 (2.874, 0.860, 0.305)
 (2.867, 0.882, 0.319)
 (2.860, 0.905, 0.334)
 (2.853, 0.927, 0.349)
 (2.846, 0.949, 0.364)
 (2.838, 0.972, 0.380)
 (2.831, 0.994, 0.397)
 (2.823, 1.016, 0.413)
 (2.815, 1.038, 0.431)
 (2.806, 1.060, 0.449)
 (2.798, 1.082, 0.467)
 (2.789, 1.104, 0.486)
 (2.781, 1.126, 0.505)
 (2.772, 1.148, 0.525)
 (2.763, 1.170, 0.545)
 (2.753, 1.191, 0.566)
 (2.744, 1.213, 0.587)
 (2.734, 1.235, 0.608)
 (2.724, 1.256, 0.630)
 (2.714, 1.277, 0.653)
 (2.704, 1.299, 0.675)
 (2.694, 1.320, 0.698)
 (2.684, 1.341, 0.721)
 (2.673, 1.362, 0.745)
 (2.662, 1.383, 0.768)
 (2.651, 1.404, 0.792)
 (2.640, 1.425, 0.816)
 (2.629, 1.445, 0.840)
 (2.617, 1.466, 0.865)
 (2.606, 1.486, 0.889)
 (2.594, 1.507, 0.913)
 (2.582, 1.527, 0.938)
 (2.570, 1.547, 0.962)
 (2.558, 1.567, 0.986)
 (2.546, 1.588, 1.010)
 (2.533, 1.607, 1.034)
 (2.520, 1.627, 1.058)
 (2.507, 1.647, 1.081)
 (2.494, 1.667, 1.104)
 (2.481, 1.686, 1.126)
 (2.468, 1.706, 1.149)
 (2.454, 1.725, 1.170)
 (2.441, 1.744, 1.191)
 (2.427, 1.763, 1.212)
 (2.413, 1.782, 1.232)
 (2.399, 1.801, 1.251)
 (2.385, 1.820, 1.269)
 (2.370, 1.839, 1.287)
 (2.356, 1.857, 1.304)
 (2.341, 1.876, 1.320)
 (2.326, 1.894, 1.335)
 (2.312, 1.912, 1.349)
 (2.296, 1.930, 1.362)
 (2.281, 1.948, 1.374)
 (2.266, 1.966, 1.385)
 (2.250, 1.984, 1.395)
 (2.235, 2.002, 1.404)
 (2.219, 2.019, 1.412)
 (2.203, 2.036, 1.418)
 (2.187, 2.054, 1.423)
 (2.171, 2.071, 1.428)
 (2.154, 2.088, 1.431)
 (2.138, 2.105, 1.433)
 (2.121, 2.121, 1.433)
 (2.105, 2.138, 1.433)
 (2.088, 2.154, 1.431)
 (2.071, 2.171, 1.428)
 (2.054, 2.187, 1.423)
 (2.036, 2.203, 1.418)
 (2.019, 2.219, 1.412)
 (2.002, 2.235, 1.404)
 (1.984, 2.250, 1.395)
 (1.966, 2.266, 1.385)
 (1.948, 2.281, 1.374)
 (1.930, 2.296, 1.362)
 (1.912, 2.312, 1.349)
 (1.894, 2.326, 1.335)
 (1.876, 2.341, 1.320)
 (1.857, 2.356, 1.304)
 (1.839, 2.370, 1.287)
 (1.820, 2.385, 1.269)
 (1.801, 2.399, 1.251)
 (1.782, 2.413, 1.232)
 (1.763, 2.427, 1.212)
 (1.744, 2.441, 1.191)
 (1.725, 2.454, 1.170)
 (1.706, 2.468, 1.149)
 (1.686, 2.481, 1.126)
 (1.667, 2.494, 1.104)
 (1.647, 2.507, 1.081)
 (1.627, 2.520, 1.058)
 (1.607, 2.533, 1.034)
 (1.588, 2.546, 1.010)
 (1.567, 2.558, 0.986)
 (1.547, 2.570, 0.962)
 (1.527, 2.582, 0.938)
 (1.507, 2.594, 0.913)
 (1.486, 2.606, 0.889)
 (1.466, 2.617, 0.865)
 (1.445, 2.629, 0.840)
 (1.425, 2.640, 0.816)
 (1.404, 2.651, 0.792)
 (1.383, 2.662, 0.768)
 (1.362, 2.673, 0.745)
 (1.341, 2.684, 0.721)
 (1.320, 2.694, 0.698)
 (1.299, 2.704, 0.675)
 (1.277, 2.714, 0.653)
 (1.256, 2.724, 0.630)
 (1.235, 2.734, 0.608)
 (1.213, 2.744, 0.587)
 (1.191, 2.753, 0.566)
 (1.170, 2.763, 0.545)
 (1.148, 2.772, 0.525)
 (1.126, 2.781, 0.505)
 (1.104, 2.789, 0.486)
 (1.082, 2.798, 0.467)
 (1.060, 2.806, 0.449)
 (1.038, 2.815, 0.431)
 (1.016, 2.823, 0.413)
 (0.994, 2.831, 0.397)
 (0.972, 2.838, 0.380)
 (0.949, 2.846, 0.364)
 (0.927, 2.853, 0.349)
 (0.905, 2.860, 0.334)
 (0.882, 2.867, 0.319)
 (0.860, 2.874, 0.305)
 (0.837, 2.881, 0.292)
 (0.814, 2.887, 0.279)
 (0.792, 2.894, 0.266)
 (0.769, 2.900, 0.254)
 (0.746, 2.906, 0.242)
 (0.723, 2.912, 0.231)
 (0.700, 2.917, 0.220)
 (0.677, 2.923, 0.210)
 (0.654, 2.928, 0.200)
 (0.631, 2.933, 0.191)
 (0.608, 2.938, 0.181)
 (0.585, 2.942, 0.173)
 (0.562, 2.947, 0.164)
 (0.539, 2.951, 0.156)
 (0.516, 2.955, 0.148)
 (0.493, 2.959, 0.141)
 (0.469, 2.963, 0.134)
 (0.446, 2.967, 0.127)
 (0.423, 2.970, 0.121)
 (0.399, 2.973, 0.115)
 (0.376, 2.976, 0.109)
 (0.353, 2.979, 0.103)
 (0.329, 2.982, 0.098)
 (0.306, 2.984, 0.093)
 (0.282, 2.987, 0.088)
 (0.259, 2.989, 0.084)
 (0.235, 2.991, 0.079)
 (0.212, 2.993, 0.075)
 (0.188, 2.994, 0.071)
 (0.165, 2.995, 0.068)
 (0.141, 2.997, 0.064)
 (0.118, 2.998, 0.061)
 (0.094, 2.999, 0.058)
 (0.071, 2.999, 0.055)
 (0.047, 3.000, 0.052)
 (0.024, 3.000, 0.049)
 (0.000, 3.000, 0.046)
 (0.000, 3.000, 0.000)
