"","die_idxs","player_idxs","outcome"
"1","1","4",2
"2","1","4",3
"3","1","4",2
"4","1","4",5
"5","1","4",6
"6","1","4",2
"7","1","4",3
"8","1","4",3
"9","1","4",4
"10","1","4",1
"11","1","4",2
"12","1","4",5
"13","1","4",2
"14","1","4",1
"15","1","4",2
"16","1","4",6
"17","1","4",4
"18","1","4",3
"19","1","4",1
"20","1","4",5
"21","1","4",3
"22","1","4",1
"23","1","4",4
"24","1","4",6
"25","1","4",5
"26","1","4",2
"27","1","4",5
"28","1","4",4
"29","1","4",6
"30","1","4",2
"31","1","4",3
"32","1","4",6
"33","1","4",5
"34","1","4",6
"35","1","4",4
"36","1","4",1
"37","1","4",6
"38","1","4",5
"39","1","4",3
"40","1","4",6
"41","1","4",5
"42","1","4",6
"43","1","4",4
"44","1","4",6
"45","1","4",4
"46","1","4",1
"47","1","4",5
"48","1","4",4
"49","1","4",2
"50","1","4",6
"51","1","4",3
"52","1","4",2
"53","1","4",1
"54","1","4",5
"55","1","4",2
"56","1","4",6
"57","1","4",3
"58","1","4",2
"59","1","4",5
"60","1","4",6
"61","1","4",5
"62","1","4",2
"63","1","4",1
"64","1","4",2
"65","1","4",4
"66","1","4",2
"67","1","4",3
"68","1","4",4
"69","1","4",6
"70","1","4",6
"71","1","4",3
"72","1","4",1
"73","1","4",1
"74","1","4",4
"75","1","4",3
"76","1","4",3
"77","1","4",5
"78","1","4",1
"79","1","4",6
"80","1","4",4
"81","1","4",6
"82","1","4",5
"83","1","4",5
"84","1","4",2
"85","1","4",3
"86","1","4",5
"87","1","4",5
"88","1","4",3
"89","1","4",4
"90","1","4",1
"91","1","4",6
"92","1","4",4
"93","1","4",5
"94","1","4",6
"95","1","4",3
"96","1","4",5
"97","1","4",6
"98","1","4",1
"99","1","4",5
"100","1","4",5
"101","1","4",1
"102","1","4",3
"103","1","4",3
"104","1","4",1
"105","1","4",3
"106","1","4",2
"107","1","4",4
"108","1","4",6
"109","1","4",1
"110","1","4",5
"111","1","1",3
"112","1","1",4
"113","1","1",3
"114","1","1",6
"115","1","1",6
"116","1","1",3
"117","1","1",4
"118","1","1",2
"119","1","1",1
"120","1","1",1
"121","1","1",2
"122","1","1",5
"123","1","1",1
"124","1","1",6
"125","1","1",5
"126","1","1",3
"127","1","1",3
"128","1","1",1
"129","1","1",1
"130","1","1",2
"131","1","1",1
"132","1","1",6
"133","1","1",3
"134","1","1",2
"135","1","1",1
"136","1","1",3
"137","1","1",1
"138","1","1",6
"139","1","1",5
"140","1","1",3
"141","1","1",1
"142","1","1",5
"143","1","1",5
"144","1","1",2
"145","1","1",6
"146","1","1",5
"147","1","1",6
"148","1","1",3
"149","1","1",4
"150","1","1",5
"151","1","1",3
"152","1","1",5
"153","1","1",2
"154","1","1",4
"155","1","1",1
"156","1","1",3
"157","1","1",5
"158","1","1",2
"159","1","1",6
"160","1","1",1
"161","1","1",1
"162","1","1",4
"163","1","1",5
"164","1","1",5
"165","1","1",3
"166","1","1",3
"167","1","1",1
"168","1","1",4
"169","1","1",3
"170","1","1",4
"171","1","1",1
"172","1","1",6
"173","1","1",6
"174","1","1",5
"175","1","1",6
"176","1","1",6
"177","1","1",2
"178","1","1",1
"179","1","1",6
"180","1","1",4
"181","1","1",3
"182","1","1",6
"183","1","1",6
"184","1","1",4
"185","1","1",6
"186","1","1",1
"187","1","1",3
"188","1","1",4
"189","1","1",2
"190","1","1",5
"191","1","1",3
"192","1","1",4
"193","1","1",2
"194","1","1",4
"195","1","1",5
"196","1","1",6
"197","1","1",5
"198","1","1",1
"199","1","1",5
"200","1","1",4
"201","1","1",6
"202","1","1",4
"203","1","1",5
"204","1","1",1
"205","1","1",4
"206","1","1",1
"207","1","1",4
"208","1","1",6
"209","1","1",1
"210","1","1",6
"211","1","1",3
"212","1","1",2
"213","1","1",4
"214","1","1",1
"215","1","1",1
"216","1","1",6
"217","1","1",5
"218","1","1",4
"219","1","1",3
"220","1","1",5
"221","1","1",4
"222","1","1",4
"223","1","1",6
"224","1","1",2
"225","1","1",1
"226","1","1",3
"227","1","1",2
"228","1","1",4
"229","1","1",4
"230","1","1",5
"231","1","1",5
"232","1","1",5
"233","1","1",4
"234","1","1",4
"235","1","1",4
"236","1","1",5
"237","1","1",2
"238","1","1",2
"239","1","1",6
"240","1","1",1
"241","1","1",4
"242","1","1",1
"243","1","1",6
"244","1","1",1
"245","1","1",1
"246","1","1",4
"247","1","1",2
"248","1","1",4
"249","1","1",5
"250","1","1",3
"251","1","1",6
"252","1","1",3
"253","1","1",3
"254","1","1",5
"255","1","1",5
"256","1","1",1
"257","1","1",2
"258","1","1",3
"259","1","1",4
"260","1","1",4
"261","1","1",2
"262","1","1",2
"263","1","1",6
"264","1","1",3
"265","1","1",4
"266","1","1",2
"267","1","1",2
"268","1","1",1
"269","1","1",5
"270","1","1",1
"271","1","1",3
"272","1","1",4
"273","1","1",5
"274","1","1",2
"275","1","1",6
"276","1","1",6
"277","1","1",3
"278","1","1",6
"279","1","1",5
"280","1","1",1
"281","1","1",3
"282","1","1",4
"283","1","1",4
"284","1","1",2
"285","1","1",4
"286","1","1",2
"287","1","1",5
"288","1","1",5
"289","1","1",3
"290","1","1",1
"291","1","1",4
"292","1","1",5
"293","1","1",6
"294","1","1",6
"295","1","1",3
"296","1","1",4
"297","1","1",4
"298","1","1",5
"299","1","1",5
"300","1","1",3
"301","1","1",2
"302","1","1",1
"303","1","1",3
"304","1","1",1
"305","1","1",1
"306","1","1",4
"307","1","1",3
"308","1","1",6
"309","1","1",6
"310","1","1",4
"311","1","1",2
"312","1","1",6
"313","1","1",2
"314","1","1",4
"315","1","1",2
"316","1","1",5
"317","1","1",1
"318","1","1",1
"319","1","1",2
"320","1","1",3
"321","1","1",4
"322","1","1",5
"323","1","1",3
"324","1","1",3
"325","1","1",3
"326","1","1",1
"327","1","1",1
"328","1","1",4
"329","1","1",3
"330","1","1",4
"331","1","1",4
"332","1","1",3
"333","1","1",5
"334","1","1",3
"335","1","1",3
"336","1","1",5
"337","1","1",3
"338","1","1",1
"339","1","1",4
"340","1","1",6
"341","1","1",5
"342","1","1",5
"343","1","1",5
"344","1","1",5
"345","1","1",4
"346","1","1",1
"347","1","1",6
"348","1","1",6
"349","1","1",3
"350","1","1",2
"351","1","1",1
"352","1","1",5
"353","1","1",4
"354","1","1",5
"355","1","1",2
"356","1","1",2
"357","1","1",2
"358","1","1",4
"359","1","1",6
"360","1","1",3
"361","1","1",1
"362","1","1",3
"363","1","1",1
"364","1","1",2
"365","1","1",3
"366","1","1",4
"367","1","1",6
"368","1","1",6
"369","1","1",2
"370","1","1",4
"371","1","1",3
"372","1","1",4
"373","1","1",4
"374","1","1",1
"375","1","1",6
"376","1","1",4
"377","1","1",5
"378","1","1",6
"379","1","1",4
"380","1","1",2
"381","1","1",2
"382","1","1",4
"383","1","1",3
"384","1","1",4
"385","1","1",6
"386","1","1",3
"387","1","1",5
"388","1","1",2
"389","1","1",6
"390","1","1",3
"391","1","1",1
"392","1","1",4
"393","1","1",4
"394","1","1",3
"395","1","1",4
"396","1","1",3
"397","1","1",1
"398","1","1",5
"399","1","1",6
"400","1","1",6
"401","1","1",6
"402","1","1",6
"403","1","1",4
"404","1","1",1
"405","1","1",4
"406","1","1",2
"407","1","1",6
"408","1","1",4
"409","1","1",5
"410","1","1",3
"411","1","1",6
"412","1","1",2
"413","1","1",1
"414","1","1",3
"415","1","1",4
"416","1","1",4
"417","1","1",4
"418","1","1",4
"419","1","1",6
"420","1","1",2
"421","1","1",3
"422","1","1",4
"423","1","1",5
"424","1","1",1
"425","1","1",1
"426","1","1",5
"427","1","1",3
"428","1","1",5
"429","1","1",6
"430","1","1",3
"431","1","1",2
"432","1","1",5
"433","1","1",3
"434","1","1",1
"435","1","1",4
"436","1","1",1
"437","1","1",3
"438","1","1",6
"439","1","1",1
"440","1","1",1
"441","6","2",1
"442","6","2",5
"443","6","2",2
"444","6","2",4
"445","6","2",5
"446","6","2",4
"447","6","2",5
"448","6","2",1
"449","6","2",6
"450","6","2",1
"451","6","2",2
"452","6","2",2
"453","6","2",3
"454","6","2",2
"455","6","2",2
"456","6","2",3
"457","6","2",2
"458","6","2",2
"459","6","2",5
"460","6","2",3
"461","6","2",4
"462","6","2",3
"463","6","2",3
"464","6","2",3
"465","6","2",5
"466","6","2",6
"467","6","2",3
"468","6","2",2
"469","6","2",2
"470","6","2",5
"471","6","2",6
"472","6","2",4
"473","6","2",4
"474","6","2",5
"475","6","2",5
"476","6","2",3
"477","6","2",1
"478","6","2",3
"479","6","2",4
"480","6","2",3
"481","6","2",2
"482","6","2",5
"483","6","2",3
"484","6","2",4
"485","6","2",5
"486","6","2",4
"487","6","2",3
"488","6","2",3
"489","6","2",3
"490","6","2",1
"491","6","5",3
"492","6","5",4
"493","6","5",4
"494","6","5",6
"495","6","5",3
"496","6","5",6
"497","6","5",6
"498","6","5",3
"499","6","5",6
"500","6","5",6
"501","6","5",4
"502","6","5",4
"503","6","5",2
"504","6","5",2
"505","6","5",4
"506","6","5",6
"507","6","5",6
"508","6","5",4
"509","6","5",1
"510","6","5",3
"511","6","5",6
"512","6","5",4
"513","6","5",3
"514","6","5",1
"515","6","5",2
"516","6","5",3
"517","6","5",1
"518","6","5",3
"519","6","5",2
"520","6","5",2
"521","6","5",2
"522","6","5",2
"523","6","5",3
"524","6","5",4
"525","6","5",1
"526","6","5",3
"527","6","5",1
"528","6","5",6
"529","6","5",3
"530","6","5",6
"531","6","5",4
"532","6","5",4
"533","6","5",4
"534","6","5",5
"535","6","5",4
"536","6","5",4
"537","6","5",3
"538","6","5",3
"539","6","5",1
"540","6","5",3
"541","7","2",5
"542","7","2",1
"543","7","2",1
"544","7","2",4
"545","7","2",4
"546","7","2",2
"547","7","2",5
"548","7","2",1
"549","7","2",1
"550","7","2",4
"551","7","2",4
"552","7","2",3
"553","7","2",5
"554","7","2",2
"555","7","2",2
"556","7","2",3
"557","7","2",2
"558","7","2",5
"559","7","2",4
"560","7","2",6
"561","7","2",2
"562","7","2",4
"563","7","2",6
"564","7","2",5
"565","7","2",3
"566","7","2",4
"567","7","2",3
"568","7","2",5
"569","7","2",1
"570","7","2",6
"571","7","2",2
"572","7","2",3
"573","7","2",5
"574","7","2",2
"575","7","2",5
"576","7","2",3
"577","7","2",5
"578","7","2",6
"579","7","2",1
"580","7","2",2
"581","7","2",3
"582","7","2",2
"583","7","2",5
"584","7","2",4
"585","7","2",3
"586","7","2",2
"587","7","2",3
"588","7","2",5
"589","7","2",4
"590","7","2",4
"591","7","5",1
"592","7","5",4
"593","7","5",2
"594","7","5",1
"595","7","5",2
"596","7","5",1
"597","7","5",4
"598","7","5",6
"599","7","5",2
"600","7","5",5
"601","7","5",6
"602","7","5",2
"603","7","5",5
"604","7","5",3
"605","7","5",1
"606","7","5",4
"607","7","5",1
"608","7","5",1
"609","7","5",4
"610","7","5",6
"611","7","5",6
"612","7","5",4
"613","7","5",6
"614","7","5",4
"615","7","5",6
"616","7","5",4
"617","7","5",2
"618","7","5",6
"619","7","5",2
"620","7","5",5
"621","7","5",3
"622","7","5",5
"623","7","5",1
"624","7","5",3
"625","7","5",4
"626","7","5",3
"627","7","5",3
"628","7","5",1
"629","7","5",5
"630","7","5",1
"631","7","5",6
"632","7","5",3
"633","7","5",5
"634","7","5",5
"635","7","5",2
"636","7","5",6
"637","7","5",5
"638","7","5",4
"639","7","5",4
"640","7","5",1
"641","6","2",4
"642","7","5",3
"643","6","2",3
"644","7","5",3
"645","6","2",1
"646","7","5",5
"647","6","2",3
"648","7","5",6
"649","6","2",6
"650","7","5",6
"651","6","2",5
"652","7","5",2
"653","6","2",4
"654","7","5",5
"655","6","2",4
"656","7","5",2
"657","6","2",4
"658","7","5",1
"659","6","2",6
"660","7","5",1
"661","6","2",1
"662","7","5",2
"663","6","2",3
"664","7","5",3
"665","6","2",4
"666","7","5",2
"667","6","2",6
"668","7","5",5
"669","6","2",4
"670","7","5",4
"671","6","2",3
"672","7","5",6
"673","6","2",4
"674","7","5",2
"675","6","2",2
"676","7","5",3
"677","6","2",2
"678","7","5",2
"679","6","2",3
"680","7","5",6
"681","6","2",2
"682","7","5",1
"683","6","2",6
"684","7","5",2
"685","6","2",1
"686","7","5",4
"687","6","2",5
"688","7","5",3
"689","6","2",2
"690","7","5",4
"691","6","5",6
"692","7","2",3
"693","6","5",5
"694","7","2",3
"695","6","5",6
"696","7","2",3
"697","6","5",3
"698","7","2",3
"699","6","5",1
"700","7","2",6
"701","6","5",1
"702","7","2",3
"703","6","5",3
"704","7","2",2
"705","6","5",3
"706","7","2",6
"707","6","5",2
"708","7","2",5
"709","6","5",4
"710","7","2",6
"711","6","5",4
"712","7","2",5
"713","6","5",2
"714","7","2",5
"715","6","5",4
"716","7","2",1
"717","6","5",6
"718","7","2",5
"719","6","5",4
"720","7","2",3
"721","6","5",2
"722","7","2",5
"723","6","5",6
"724","7","2",4
"725","6","5",6
"726","7","2",1
"727","6","5",1
"728","7","2",5
"729","6","5",2
"730","7","2",2
"731","6","5",5
"732","7","2",5
"733","6","5",3
"734","7","2",3
"735","6","5",6
"736","7","2",5
"737","6","5",3
"738","7","2",1
"739","6","5",6
"740","7","2",4
"741","8","7",3
"742","8","7",4
"743","8","7",3
"744","8","7",5
"745","8","7",6
"746","8","7",4
"747","8","7",3
"748","8","7",1
"749","8","7",5
"750","8","7",1
"751","8","7",6
"752","8","7",5
"753","8","7",6
"754","8","7",3
"755","8","7",3
"756","8","7",1
"757","8","7",3
"758","8","7",3
"759","8","7",2
"760","9","7",5
"761","9","7",2
"762","9","7",1
"763","9","7",2
"764","9","7",2
"765","9","7",2
"766","9","7",2
"767","9","7",5
"768","9","7",1
"769","9","7",3
"770","9","7",2
"771","9","7",5
"772","9","7",1
"773","9","7",2
"774","9","7",5
"775","9","7",6
"776","9","7",5
"777","9","7",3
"778","9","7",6
"779","9","7",5
"780","9","7",5
"781","9","7",1
"782","8","7",1
"783","8","7",3
"784","8","7",2
"785","8","7",6
"786","8","7",2
"787","8","7",2
"788","8","7",3
"789","8","7",5
"790","8","7",6
"791","8","7",3
"792","8","7",6
"793","8","7",3
"794","8","7",5
"795","8","7",4
"796","8","7",4
"797","8","7",1
"798","8","7",5
"799","9","7",4
"800","9","7",1
"801","9","7",1
"802","9","7",3
"803","9","7",1
"804","9","7",1
"805","9","7",6
"806","9","7",5
"807","9","7",2
"808","9","7",5
"809","9","7",3
"810","9","7",1
"811","9","7",4
"812","9","7",1
"813","9","7",3
"814","9","7",5
"815","9","7",2
"816","9","9",1
"817","8","7",2
"818","8","7",4
"819","8","7",2
"820","8","7",6
"821","8","7",5
"822","8","7",4
"823","8","7",5
"824","8","7",1
"825","8","7",3
"826","8","7",6
"827","8","7",2
"828","8","7",2
"829","8","7",2
"830","8","7",2
"831","8","7",2
"832","8","7",2
"833","8","7",4
"834","8","7",5
"835","8","7",4
"836","8","7",5
"837","8","7",1
"838","8","7",5
"839","8","7",4
"840","9","7",1
"841","9","7",3
"842","9","7",3
"843","9","7",5
"844","9","7",2
"845","9","7",1
"846","9","7",2
"847","9","7",4
"848","9","7",2
"849","9","7",4
"850","9","7",6
"851","9","7",4
"852","9","7",6
"853","9","7",1
"854","9","7",6
"855","9","7",2
"856","9","7",6
"857","9","7",5
"858","9","7",4
"859","9","7",2
"860","9","7",4
"861","9","7",4
"862","9","7",2
"863","8","7",5
"864","8","7",6
"865","8","7",5
"866","8","7",3
"867","8","7",2
"868","8","7",4
"869","8","7",4
"870","8","7",3
"871","8","7",1
"872","8","7",5
"873","8","7",4
"874","8","7",3
"875","8","7",6
"876","8","7",1
"877","8","7",5
"878","8","7",1
"879","8","7",4
"880","8","7",4
"881","8","7",6
"882","8","7",1
"883","8","7",4
"884","8","7",2
"885","8","7",3
"886","8","7",1
"887","8","7",4
"888","8","7",5
"889","8","7",5
"890","8","7",2
"891","8","7",2
"892","8","7",2
"893","8","7",6
"894","8","7",1
"895","8","7",5
"896","8","7",5
"897","8","7",5
"898","8","7",1
"899","8","7",1
"900","8","7",3
"901","8","7",1
"902","8","7",4
"903","8","7",3
"904","8","7",4
"905","8","7",3
"906","8","7",3
"907","8","7",3
"908","8","7",6
"909","8","7",6
"910","8","7",3
"911","8","7",6
"912","8","7",1
"913","8","7",3
"914","8","7",6
"915","8","7",6
"916","8","7",4
"917","8","7",6
"918","8","7",3
"919","8","7",4
"920","8","7",6
"921","8","7",4
"922","8","7",4
"923","9","7",4
"924","9","7",1
"925","9","7",4
"926","9","7",4
"927","9","7",5
"928","9","7",4
"929","9","7",4
"930","9","7",4
"931","9","7",5
"932","9","7",2
"933","9","7",2
"934","9","7",5
"935","9","7",5
"936","9","7",2
"937","9","7",2
"938","9","7",4
"939","9","7",3
"940","9","7",2
"941","9","7",6
"942","9","7",4
"943","9","7",5
"944","9","7",6
"945","9","7",6
"946","9","7",3
"947","9","7",1
"948","9","7",1
"949","9","7",3
"950","9","7",1
"951","9","7",6
"952","9","7",4
"953","9","7",5
"954","9","7",1
"955","9","7",6
"956","9","7",2
