"","race_entrant_dnf_idxs"
"1","7"
"2","60"
"3","29"
"4","30"
"5","78"
"6","15"
"7","73"
"8","28"
"9","90"
"10","5"
"11","27"
"12","79"
"13","65"
"14","4"
"15","6"
"16","34"
"17","94"
"18","90"
"19","102"
"20","66"
"21","3"
"22","90"
"23","24"
"24","56"
"25","57"
"26","18"
"27","94"
"28","31"
"29","100"
"30","73"
"31","6"
"32","88"
"33","26"
"34","30"
"35","102"
"36","60"
"37","102"
"38","43"
"39","45"
"40","60"
"41","45"
"42","91"
"43","107"
"44","88"
"45","100"
"46","88"
"47","94"
"48","24"
"49","6"
"50","32"
"51","77"
"52","18"
"53","43"
"54","86"
"55","73"
"56","43"
"57","88"
"58","83"
"59","88"
"60","44"
"61","43"
"62","94"
"63","26"
"64","4"
"65","60"
"66","94"
"67","1"
"68","30"
"69","43"
"70","6"
"71","6"
"72","58"
"73","1"
"74","102"
"75","98"
"76","78"
"77","64"
"78","90"
"79","26"
"80","6"
"81","12"
"82","48"
"83","26"
"84","1"
"85","98"
"86","72"
"87","58"
"88","6"
"89","94"
"90","44"
"91","26"
"92","61"
"93","33"
"94","19"
"95","90"
"96","61"
"97","31"
"98","98"
"99","82"
"100","94"
"101","13"
"102","44"
"103","35"
"104","44"
"105","4"
"106","26"
"107","6"
"108","48"
"109","22"
"110","94"
"111","45"
"112","43"
"113","6"
"114","98"
"115","35"
"116","83"
"117","8"
"118","44"
"119","6"
"120","35"
"121","8"
"122","48"
"123","44"
"124","48"
"125","44"
"126","93"
"127","35"
"128","53"
"129","48"
"130","35"
"131","102"
"132","76"
"133","61"
"134","48"
"135","102"
"136","45"
"137","22"
"138","26"
"139","93"
"140","60"
"141","6"
"142","31"
"143","6"
"144","55"
"145","44"
"146","35"
"147","103"
"148","98"
"149","58"
"150","44"
"151","61"
"152","93"
"153","44"
"154","58"
"155","90"
"156","94"
"157","30"
"158","11"
"159","30"
"160","96"
"161","86"
"162","44"
"163","48"
"164","59"
"165","31"
"166","86"
"167","57"
"168","95"
"169","93"
"170","55"
"171","91"
"172","26"
"173","48"
"174","73"
"175","11"
"176","32"
"177","44"
"178","82"
"179","78"
"180","86"
"181","8"
"182","37"
"183","67"
"184","87"
"185","92"
"186","48"
"187","35"
"188","8"
"189","38"
"190","39"
"191","50"
"192","94"
"193","3"
"194","106"
"195","73"
"196","64"
"197","26"
"198","38"
"199","32"
"200","41"
"201","45"
"202","48"
"203","80"
"204","7"
"205","55"
"206","80"
"207","88"
"208","18"
"209","4"
"210","48"
"211","78"
"212","41"
"213","97"
"214","8"
"215","37"
"216","45"
"217","11"
"218","57"
"219","44"
"220","45"
"221","98"
"222","24"
"223","26"
"224","45"
"225","78"
"226","30"
"227","11"
"228","54"
"229","95"
"230","11"
"231","71"
"232","51"
"233","44"
"234","19"
"235","35"
"236","4"
"237","73"
"238","44"
"239","11"
"240","88"
"241","102"
"242","36"
"243","11"
"244","45"
"245","11"
"246","47"
"247","11"
