"","race_entrant_f_idxs","race_entrant_f_times"
"1","70",4005
"2","18",4527
"3","91",4543
"4","29",4871
"5","7",3838
"6","70",4096
"7","91",4243
"8","29",4250
"9","18",4570
"10","105",4428
"11","70",4820
"12","7",5260
"13","29",2979
"14","7",3226
"15","18",3656
"16","29",4418
"17","91",12270
"18","70",4310
"19","29",4467
"20","28",5411
"21","91",5934
"22","81",6063
"23","12",6074
"24","64",6281
"25","78",10746
"26","4",3452
"27","29",3628
"28","91",3699
"29","90",4406
"30","12",5220
"31","73",5220
"32","5",5245
"33","15",6304
"34","36",6778
"35","34",6867
"36","107",8036
"37","29",4682
"38","4",6415
"39","91",4802
"40","29",5049
"41","65",3796
"42","70",3909
"43","91",4418
"44","29",4971
"45","4",5481
"46","69",6814
"47","36",12460
"48","65",3834
"49","4",4442
"50","91",4595
"51","58",4737
"52","29",5035
"53","12",5957
"54","28",6315
"55","63",6950
"56","81",7077
"57","107",9732
"58","30",17454
"59","70",3003
"60","58",3558
"61","12",4420
"62","5",5032
"63","63",5535
"64","28",5549
"65","51",5816
"66","34",6480
"67","66",7031
"68","6",7184
"69","78",7241
"70","20",9654
"71","3",11404
"72","30",11713
"73","70",4471
"74","29",4657
"75","91",6231
"76","90",7812
"77","69",10686
"78","12",13274
"79","29",3953
"80","65",6180
"81","4",7731
"82","70",3401
"83","29",3776
"84","65",4783
"85","28",5830
"86","4",6289
"87","6",6815
"88","90",7243
"89","29",4155
"90","65",4358
"91","4",4437
"92","19",4579
"93","73",4645
"94","28",4695
"95","90",4792
"96","34",5062
"97","91",5470
"98","36",6188
"99","45",7136
"100","5",7479
"101","31",8152
"102","94",8248
"103","30",9776
"104","78",10781
"105","4",4315
"106","18",4353
"107","57",5157
"108","64",6329
"109","84",6380
"110","78",7716
"111","18",2790
"112","91",2927
"113","90",3076
"114","69",3673
"115","4",3752
"116","65",2741
"117","94",3132
"118","88",3196
"119","5",3717
"120","102",4481
"121","1",4585
"122","13",6547
"123","29",3061
"124","4",3383
"125","44",4236
"126","88",5151
"127","70",2893
"128","4",3328
"129","29",3722
"130","90",4040
"131","44",4640
"132","45",4787
"133","84",6192
"134","1",6235
"135","26",6932
"136","30",8470
"137","18",3849
"138","57",4892
"139","4",5183
"140","64",5246
"141","84",6534
"142","44",7513
"143","34",3347
"144","57",3376
"145","91",3637
"146","29",3771
"147","18",3877
"148","65",3892
"149","94",4176
"150","90",4185
"151","5",5284
"152","95",6429
"153","85",8918
"154","91",4085
"155","60",4510
"156","100",4662
"157","90",4942
"158","88",4960
"159","34",5062
"160","1",5586
"161","107",6603
"162","88",3969
"163","60",4008
"164","58",4423
"165","100",4574
"166","94",4620
"167","100",3053
"168","29",3144
"169","73",3903
"170","88",4588
"171","99",4837
"172","88",3530
"173","17",3597
"174","57",3821
"175","18",2676
"176","57",3471
"177","88",3569
"178","94",3806
"179","79",4910
"180","68",5462
"181","57",3533
"182","19",3558
"183","60",3567
"184","105",3701
"185","94",4738
"186","90",5808
"187","18",4942
"188","57",5068
"189","90",5479
"190","105",5608
"191","58",6008
"192","60",6087
"193","63",6661
"194","45",6704
"195","14",6963
"196","18",3377
"197","58",5235
"198","45",6211
"199","100",6946
"200","107",10415
"201","3",11235
"202","43",12724
"203","57",3649
"204","18",3730
"205","17",4234
"206","5",4769
"207","94",5281
"208","1",5367
"209","12",5390
"210","64",6508
"211","43",9773
"212","18",3628
"213","90",3860
"214","65",4088
"215","58",4600
"216","63",4801
"217","94",5535
"218","81",5563
"219","34",5702
"220","5",5812
"221","78",5901
"222","12",6132
"223","16",6392
"224","20",6760
"225","95",6785
"226","66",7938
"227","65",3886
"228","90",3920
"229","95",4265
"230","58",4863
"231","43",8154
"232","2",16255
"233","90",4834
"234","18",4877
"235","58",7708
"236","94",9614
"237","57",3774
"238","17",4336
"239","94",4708
"240","96",4854
"241","68",5461
"242","5",5494
"243","91",3867
"244","19",5029
"245","60",4091
"246","90",4211
"247","95",4314
"248","26",4341
"249","5",4438
"250","12",4830
"251","94",5037
"252","43",10439
"253","70",3161
"254","60",3556
"255","88",3938
"256","90",4063
"257","26",4196
"258","5",4888
"259","94",4936
"260","58",5353
"261","107",6251
"262","29",5534
"263","100",6215
"264","58",6604
"265","107",10041
"266","43",12604
"267","60",3238
"268","100",3485
"269","29",3742
"270","88",3756
"271","58",4278
"272","12",4701
"273","65",3190
"274","19",3504
"275","12",4297
"276","94",5104
"277","43",7544
"278","65",1877
"279","70",2092
"280","29",2119
"281","90",2599
"282","79",2678
"283","26",2900
"284","94",3079
"285","83",3957
"286","78",4148
"287","107",4197
"288","2",5759
"289","100",4704
"290","94",5285
"291","65",5865
"292","26",5948
"293","90",6288
"294","60",4975
"295","105",5164
"296","99",5261
"297","24",6217
"298","82",6608
"299","5",7084
"300","19",7751
"301","45",8028
"302","43",12982
"303","29",3370
"304","17",4127
"305","60",4240
"306","24",4908
"307","58",5036
"308","45",5641
"309","3",9680
"310","70",4781
"311","100",6175
"312","90",6263
"313","91",6868
"314","65",7048
"315","44",7813
"316","5",8899
"317","19",4493
"318","60",5172
"319","49",6281
"320","51",6789
"321","12",7963
"322","58",4886
"323","4",5778
"324","49",7569
"325","43",8385
"326","65",3343
"327","17",3557
"328","4",3559
"329","26",4051
"330","96",4100
"331","1",4553
"332","58",4555
"333","107",6727
"334","91",3700
"335","65",3712
"336","17",4634
"337","44",4929
"338","26",5034
"339","6",5396
"340","96",5605
"341","60",3682
"342","94",3995
"343","81",4033
"344","105",4163
"345","19",4322
"346","49",4346
"347","24",4573
"348","12",5198
"349","45",6367
"350","29",3558
"351","81",4068
"352","45",4068
"353","24",4381
"354","43",10451
"355","4",3595
"356","58",5096
"357","49",5990
"358","4",3017
"359","29",3073
"360","58",3134
"361","94",4344
"362","12",4673
"363","48",5491
"364","83",5653
"365","78",6278
"366","43",7136
"367","29",3453
"368","99",3647
"369","68",4164
"370","64",4442
"371","12",4931
"372","58",4357
"373","94",4478
"374","5",4494
"375","64",4621
"376","68",5423
"377","58",4715
"378","49",4906
"379","95",5750
"380","26",6216
"381","31",6493
"382","5",6854
"383","94",7502
"384","105",3636
"385","70",3897
"386","91",3916
"387","90",4075
"388","100",4185
"389","58",4205
"390","94",4267
"391","17",5109
"392","5",5491
"393","6",5822
"394","26",6128
"395","34",6455
"396","20",7713
"397","43",9232
"398","90",5104
"399","48",6517
"400","95",6519
"401","73",5166
"402","19",5459
"403","60",5645
"404","90",5724
"405","65",5917
"406","100",6517
"407","12",6545
"408","51",6828
"409","58",7224
"410","43",9512
"411","2",17892
"412","70",2205
"413","100",2334
"414","105",2385
"415","29",2426
"416","17",2809
"417","95",2911
"418","73",2950
"419","44",3085
"420","45",3154
"421","12",3169
"422","35",3870
"423","43",4853
"424","100",3291
"425","29",4099
"426","44",4278
"427","58",4746
"428","65",4892
"429","61",5026
"430","95",5282
"431","94",6107
"432","69",6363
"433","48",7198
"434","2",10918
"435","105",3600
"436","91",4061
"437","100",4148
"438","65",4215
"439","44",4738
"440","16",4856
"441","6",4867
"442","26",5285
"443","5",5348
"444","94",6117
"445","30",6945
"446","107",7590
"447","43",9511
"448","105",3209
"449","60",3700
"450","90",3970
"451","26",4006
"452","94",4606
"453","58",4679
"454","19",4761
"455","16",4980
"456","44",5162
"457","5",5211
"458","95",5240
"459","45",5916
"460","48",5957
"461","105",4024
"462","60",4101
"463","58",4784
"464","26",5193
"465","45",5507
"466","5",6946
"467","33",11284
"468","100",3739
"469","29",3875
"470","95",5133
"471","90",3527
"472","29",4194
"473","96",4278
"474","4",4353
"475","64",4532
"476","73",4916
"477","72",5297
"478","68",6514
"479","65",4751
"480","29",5063
"481","73",6432
"482","72",7354
"483","96",7589
"484","48",8167
"485","91",2285
"486","29",2806
"487","65",3404
"488","26",3688
"489","73",4443
"490","90",4283
"491","4",4302
"492","17",4660
"493","64",5229
"494","96",5933
"495","6",5961
"496","98",6253
"497","100",3536
"498","105",3700
"499","26",3739
"500","60",3901
"501","19",4192
"502","65",4257
"503","96",4885
"504","36",5093
"505","105",5365
"506","4",5600
"507","58",7010
"508","29",4051
"509","90",4147
"510","4",4168
"511","61",4198
"512","100",4397
"513","84",4462
"514","96",4872
"515","31",4982
"516","17",5585
"517","29",3608
"518","65",3632
"519","100",3805
"520","96",4428
"521","90",5423
"522","61",5463
"523","31",6976
"524","29",4625
"525","91",5014
"526","65",5723
"527","95",6113
"528","22",8385
"529","23",12565
"530","2",13114
"531","65",2842
"532","90",2865
"533","91",2897
"534","100",2994
"535","73",3147
"536","29",3232
"537","96",3267
"538","34",3394
"539","94",3551
"540","95",3574
"541","12",3775
"542","5",3819
"543","26",3917
"544","45",3995
"545","60",4084
"546","4",4565
"547","78",5092
"548","3",5367
"549","43",5982
"550","30",6732
"551","4",4015
"552","60",4242
"553","96",4272
"554","26",4296
"555","73",4443
"556","16",4691
"557","105",4813
"558","4",4258
"559","90",4586
"560","64",6295
"561","90",3217
"562","82",3403
"563","64",4070
"564","17",4087
"565","6",4141
"566","22",4182
"567","70",2956
"568","60",3145
"569","100",3591
"570","90",3776
"571","5",4491
"572","94",4808
"573","96",5462
"574","58",5632
"575","78",6849
"576","100",3475
"577","90",3827
"578","105",4120
"579","95",3657
"580","17",4459
"581","107",7409
"582","29",2540
"583","4",2698
"584","100",2713
"585","91",2986
"586","90",3002
"587","16",3136
"588","58",3233
"589","44",3249
"590","94",3321
"591","5",3471
"592","34",3672
"593","98",4058
"594","96",4611
"595","12",4762
"596","6",4963
"597","48",5034
"598","81",5838
"599","31",6260
"600","78",7228
"601","107",7673
"602","96",5650
"603","94",6232
"604","95",7480
"605","60",3619
"606","65",3782
"607","29",3899
"608","100",4319
"609","91",4352
"610","16",4535
"611","12",4558
"612","96",4623
"613","90",4878
"614","93",4897
"615","31",4934
"616","5",5329
"617","94",5825
"618","36",5827
"619","1",6172
"620","8",6402
"621","30",8568
"622","29",3738
"623","65",4046
"624","91",4334
"625","58",4530
"626","16",4922
"627","12",5106
"628","81",5230
"629","72",5868
"630","93",5999
"631","3",7534
"632","48",7581
"633","22",7721
"634","30",8244
"635","76",11205
"636","43",12235
"637","60",3322
"638","90",3492
"639","100",3760
"640","24",4065
"641","58",4293
"642","96",5105
"643","93",5163
"644","16",5645
"645","5",4628
"646","22",5061
"647","4",5162
"648","59",6455
"649","65",3325
"650","29",3480
"651","100",3691
"652","60",3719
"653","12",3787
"654","90",3856
"655","88",4113
