"","X","race_urls","race_datetimes","race_N_entrants_f","race_N_entrants_dnf","race_f_start_idxs","race_f_end_idxs","race_dnf_start_idxs","race_dnf_end_idxs","seed_urls","seeds","versions","skill_assumptions","item_progressions"
"1",1,"https://racetime.gg/smr/agreeable-supermissiles-8463","2024-01-09T21:39:16.610866+00:00",4,1,1,4,1,1,"https://maprando.com/seed/mpwjHfInQBxxpE40m2Q8uQ/","mpwjHfInQBxxpE40m2Q8uQ",105,"Hard","Tricky"
"2",2,"https://racetime.gg/smr/splendid-babyskip-9705","2024-01-09T23:15:28.941443+00:00",5,1,5,9,2,2,"https://maprando.com/seed/GF284ZQXGULAhdsynJpBXA/","GF284ZQXGULAhdsynJpBXA",105,"Hard","Tricky"
"3",3,"https://racetime.gg/smr/elegant-bluesuit-6485","2024-01-14T03:06:15.237208+00:00",3,1,10,12,3,3,"https://maprando.com/seed/zlTXRiRuPjUXpwnayI0OiQ/","zlTXRiRuPjUXpwnayI0OiQ",105,"Hard","Tricky"
"4",4,"https://racetime.gg/smr/lawful-pseudoscrew-9015","2024-02-18T18:42:19.446037+00:00",3,0,13,15,0,0,"https://maprando.com/seed/liVk-S9E-kVUFAR8aMVwdA/","liVk-S9E-kVUFAR8aMVwdA",108,"Hard","Tricky"
"5",5,"https://racetime.gg/smr/quick-gauntlet-3183","2024-03-06T23:17:14.522121+00:00",2,0,16,17,0,0,"https://maprando.com/seed/Z9EtGWP6MjQelsnoojxZRg/","Z9EtGWP6MjQelsnoojxZRg",109,"Hard","Tricky"
"6",6,"https://racetime.gg/smr/pogtastic-screwattack-6732","2024-05-04T17:01:16.731567+00:00",8,1,18,25,4,4,"https://maprando.com/seed/2PoCzNbgiPpT9StqL9sYhw/","2PoCzNbgiPpT9StqL9sYhw",111,"Hard","Tricky"
"7",7,"https://racetime.gg/smr/lawful-firefleas-0909","2024-05-07T23:04:22.550190+00:00",11,1,26,36,5,5,"https://maprando.com/seed/KwkbzVoHbSSZK_CRnnnI8Q/","KwkbzVoHbSSZK_CRnnnI8Q",111,"Hard","Tricky"
"8",8,"https://racetime.gg/smr/mecha-crateria-1099","2024-05-08T19:53:08.197537+00:00",2,1,37,38,6,6,"https://maprando.com/seed/0VB-iuZX40sE0U413VRjsg/","0VB-iuZX40sE0U413VRjsg",111,"Hard","Tricky"
"9",9,"https://racetime.gg/smr/helpful-memu-8397","2024-05-09T07:39:08.014067+00:00",2,1,39,40,7,7,"https://maprando.com/seed/VlBpRcyej_7ge77NBWWVJw/","VlBpRcyej_7ge77NBWWVJw",111,"Hard","Tricky"
"10",10,"https://racetime.gg/smr/daring-zebskip-6330","2024-05-09T19:20:40.812808+00:00",7,2,41,47,8,9,"https://maprando.com/seed/gk5tqnS6ANuBsf94hG_V3A/","gk5tqnS6ANuBsf94hG_V3A",111,"Hard","Tricky"
"11",11,"https://racetime.gg/smr/smart-gravityjump-5793","2024-05-11T20:04:12.552128+00:00",11,3,48,58,10,12,"https://maprando.com/seed/sxbZUYYMuSsUTHTuMqJT-Q/","sxbZUYYMuSsUTHTuMqJT-Q",111,"Hard","Tricky"
"12",12,"https://racetime.gg/smr/mega-kamer-9502","2024-05-12T22:00:41.544184+00:00",14,0,59,72,0,0,"https://maprando.com/seed/N_QEEtHmp8mCiPXXW7v0mw/","N_QEEtHmp8mCiPXXW7v0mw",111,"Hard","Tricky"
"13",13,"https://racetime.gg/smr/good-shaktool-0190","2024-05-13T21:06:03.571073+00:00",6,5,73,78,13,17,"https://maprando.com/seed/Cp9AuUqzyzdxYFbOsKPKKw/","Cp9AuUqzyzdxYFbOsKPKKw",111,"Hard","Tricky"
"14",14,"https://racetime.gg/smr/daring-ripper-5018","2024-05-14T17:50:50.073674+00:00",3,1,79,81,18,18,"https://maprando.com/seed/Pc2-BHQB6u0kE2KhI1ssAg/","Pc2-BHQB6u0kE2KhI1ssAg",111,"Hard","Tricky"
"15",15,"https://racetime.gg/smr/witty-plasmaspark-1809","2024-05-14T20:13:11.468876+00:00",7,1,82,88,19,19,"https://maprando.com/seed/PWH8UkvqikwN_rq_yowgcQ/","PWH8UkvqikwN_rq_yowgcQ",111,"Hard","Tricky"
"16",16,"https://racetime.gg/smr/brainy-fastmid-1470","2024-05-15T23:04:36.976636+00:00",16,2,89,104,20,21,"https://maprando.com/seed/p1kS2p4A2ZWypdotGIlkLw/","p1kS2p4A2ZWypdotGIlkLw",111,"Hard","Tricky"
"17",17,"https://racetime.gg/smr/funky-zeela-0584","2024-05-20T18:06:01.774916+00:00",6,2,105,110,22,23,"https://maprando.com/seed/dhkMBQyyuOKSGV9z8HdsjA/","dhkMBQyyuOKSGV9z8HdsjA",112,"Hard","Tricky"
"18",18,"https://racetime.gg/smr/travelling-halfie-7456","2024-05-20T19:54:34.015464+00:00",5,0,111,115,0,0,"https://maprando.com/seed/0Kshd23KmSwUACru4U4qtg/","0Kshd23KmSwUACru4U4qtg",112,"Hard","Tricky"
"19",19,"https://racetime.gg/smr/legendary-heroshot-5864","2024-05-20T23:11:35.763261+00:00",7,1,116,122,24,24,"https://maprando.com/seed/IFjIKzNEruKzYouf4EIeFg/","IFjIKzNEruKzYouf4EIeFg",112,"Hard","Tricky"
"20",20,"https://racetime.gg/smr/splendid-twothirty-2954","2024-05-21T20:30:27.272330+00:00",4,2,123,126,25,26,"https://maprando.com/seed/cfbM74sAnahDsaUvLWeTZA/","cfbM74sAnahDsaUvLWeTZA",112,"Hard","Tricky"
"21",21,"https://racetime.gg/smr/hyper-tatori-1619","2024-05-21T21:54:51.796927+00:00",10,2,127,136,27,28,"https://maprando.com/seed/SMbRFLqmte44eDGYdXcn9w/","SMbRFLqmte44eDGYdXcn9w",112,"Hard","Tricky"
"22",22,"https://racetime.gg/smr/mecha-draygon-8885","2024-05-22T18:24:14.231611+00:00",6,0,137,142,0,0,"https://maprando.com/seed/96fB8Qznojm4nbnYIhWuXQ/","96fB8Qznojm4nbnYIhWuXQ",112,"Hard","Tricky"
"23",23,"https://racetime.gg/smr/helpful-bombtorizo-0388","2024-05-22T23:06:31.671523+00:00",11,8,143,153,29,36,"https://maprando.com/seed/M5QgpGRhnRVO4Ygp4F-Y8g/","M5QgpGRhnRVO4Ygp4F-Y8g",112,"Hard","Tricky"
"24",24,"https://racetime.gg/smr/lazy-whomplejump-8406","2024-05-23T00:53:41.956611+00:00",8,2,154,161,37,38,"https://maprando.com/seed/xWMn2JJpQAZ8f8ACw9sDSQ/","xWMn2JJpQAZ8f8ACw9sDSQ",112,"Hard","Tricky"
"25",25,"https://racetime.gg/smr/clever-missiles-1883","2024-05-23T02:55:13.738671+00:00",5,1,162,166,39,39,"https://maprando.com/seed/fsTjOKB7jQ9TbaoanzbF1A/","fsTjOKB7jQ9TbaoanzbF1A",112,"Hard","Tricky"
"26",26,"https://racetime.gg/smr/graceful-fastslow-1871","2024-05-23T04:45:03.589153+00:00",5,2,167,171,40,41,"https://maprando.com/seed/5bEJDNvZHTyYr2-D1tGHNw/","5bEJDNvZHTyYr2-D1tGHNw",112,"Hard","Tricky"
"27",27,"https://racetime.gg/smr/tactical-reserves-6999","2024-05-23T17:11:52.799104+00:00",3,0,172,174,0,0,"https://maprando.com/seed/gdgGFva0bFn7tWOKfeb71g/","gdgGFva0bFn7tWOKfeb71g",112,"Hard","Tricky"
"28",28,"https://racetime.gg/smr/witty-screwattack-1371","2024-05-23T18:43:19.982599+00:00",6,2,175,180,42,43,"https://maprando.com/seed/kCjYsyriZMpKsUanGapR9A/","kCjYsyriZMpKsUanGapR9A",112,"Hard","Tricky"
"29",29,"https://racetime.gg/smr/superb-gravity-5339","2024-05-24T00:10:21.309201+00:00",6,1,181,186,44,44,"https://maprando.com/seed/aR-0dtVEPGy5fEx_-oRo6Q/","aR-0dtVEPGy5fEx_-oRo6Q",112,"Hard","Tricky"
"30",30,"https://racetime.gg/smr/casual-rbo-6765","2024-05-24T02:01:58.785780+00:00",9,4,187,195,45,48,"https://maprando.com/seed/AQEy0YOqbXwB8yMStMgV-Q/","AQEy0YOqbXwB8yMStMgV-Q",112,"Hard","Tricky"
"31",31,"https://racetime.gg/smr/amused-coliseum-5732","2024-05-24T04:38:18.421003+00:00",7,0,196,202,0,0,"https://maprando.com/seed/UKX5i5hrau3sb-ik3GKpBQ/","UKX5i5hrau3sb-ik3GKpBQ",112,"Hard","Tricky"
"32",32,"https://racetime.gg/smr/artful-reo-0718","2024-05-24T18:32:16.857003+00:00",9,1,203,211,49,49,"https://maprando.com/seed/gO1YYWSGtXzGOuMweR-jUA/","gO1YYWSGtXzGOuMweR-jUA",112,"Hard","Tricky"
"33",33,"https://racetime.gg/smr/sleepy-zoa-1448","2024-05-25T20:00:19.914016+00:00",15,2,212,226,50,51,"https://maprando.com/seed/cc3RBaleJbDvkxEETe2iUw/","cc3RBaleJbDvkxEETe2iUw",112,"Hard","Tricky"
"34",34,"https://racetime.gg/smr/smart-gtclassic-3610","2024-05-25T23:43:59.779955+00:00",6,1,227,232,52,52,"https://maprando.com/seed/lDxtuFb2XfKDzVb4pIWHnQ/","lDxtuFb2XfKDzVb4pIWHnQ",112,"Hard","Tricky"
"35",35,"https://racetime.gg/smr/scrawny-shortcharge-0179","2024-05-26T22:54:25.987061+00:00",4,1,233,236,53,53,"https://maprando.com/seed/rdKL2cPALsddlRqWtD3FLA/","rdKL2cPALsddlRqWtD3FLA",112,"Hard","Tricky"
"36",36,"https://racetime.gg/smr/vanilla-workrobot-2530","2024-05-27T14:56:56.801895+00:00",6,1,237,242,54,54,"https://maprando.com/seed/dyKL5JEs2i-WdKb7g3sgxw/","dyKL5JEs2i-WdKb7g3sgxw",112,"Hard","Tricky"
"37",37,"https://racetime.gg/smr/pogtastic-fastfast-2820","2024-05-27T20:21:36.001927+00:00",2,2,243,244,55,56,"https://maprando.com/seed/nlh4frowrudJd621kctxrw/","nlh4frowrudJd621kctxrw",112,"Hard","Tricky"
"38",38,"https://racetime.gg/smr/daring-crocomire-9546","2024-05-27T23:57:03.253505+00:00",8,2,245,252,57,58,"https://maprando.com/seed/S4vnUWh17Y3cRLInfzYX-Q/","S4vnUWh17Y3cRLInfzYX-Q",112,"Hard","Tricky"
